FIPS,UNEMP,INCOME,POP,
02090,6.4,"74,076","1,619",
02100,15.6,"62,548","4,857",
02105,13.5,"53,141","95,655",
02110,6.6,"85,419","2,080",
02122,9.1,"68,625","2,365",
02130,9.6,"75,706","32,255",
02150,6.2,"79,669","58,799",
02158,19.4,"35,369","13,948",
02164,9.4,"51,693","13,101",
02170,8.3,"75,856","8,368",
02180,10.5,"58,464","1,476",
02185,5.9,"84,784","107,081",
02188,12.0,"61,660","10,046",
02195,8.7,"71,296","11,031",
02198,9.2,"50,049","7,793",
02201,,,"3,398",
02220,6.9,"80,660","5,753",
02230,21.5,"74,898",,
02232,,,"8,458",
02240,7.4,"69,646","1,240",
02261,8.7,"74,574",,
02275,8.4,"62,496","6,808",
02280,,,,
02282,8.5,"61,587","2,127",
02290,12.1,"42,063",,
04000,7.9,"62,027",662,
04001,12.8,"35,386","5,343",
04003,7.0,"48,650","7,151,502",
04005,9.7,"58,301","66,021",
04007,7.7,"45,980","125,447",
04009,6.3,"50,685","145,101",
04011,5.5,"68,066","53,272",
04012,7.1,"39,407","38,533",
04013,7.4,"68,634","9,563",
04015,10.0,"49,712","16,557",
04017,10.1,"40,676","4,420,568",
04019,7.7,"56,150","213,267",
04021,7.5,"62,067","106,717",
04023,11.4,"47,779","1,043,433",
04025,7.5,"54,242","425,264",
04027,17.1,"47,024","47,669",
05000,6.1,"49,020","236,209",
05001,4.0,"52,539","203,881",
05003,9.3,"47,744","3,011,524",
05005,5.9,"41,950","17,149",
05007,4.5,"70,775","19,062",
05009,5.3,"50,083","41,627",
05011,5.8,"39,982","284,333",
05013,5.2,"48,415","37,373",
05015,5.7,"43,841","10,545",
05017,10.3,"37,014","4,739",
05019,5.9,"44,105","28,260",
05021,6.0,"40,686","10,208",
05023,7.6,"46,214","21,446",
05025,6.1,"53,773","14,552",
05027,6.8,"42,964","24,711",
05029,6.0,"46,924","7,550",
05031,5.3,"47,766","22,801",
05033,5.4,"44,600","20,715",
05035,8.3,"41,976","111,231",
05037,6.1,"45,273","60,133",
05039,5.3,"41,314","48,163",
05041,7.0,"37,005","16,833",
05043,6.9,"44,162","6,482",
05045,5.4,"58,482","11,395",
05047,5.6,"45,670","17,350",
05049,5.1,"32,926","123,498",
05051,8.0,"45,786","17,097",
05053,5.2,"58,566","12,075",
05055,6.0,"47,098","100,180",
05057,5.2,"40,867","17,958",
05059,5.8,"45,860","45,736",
05061,5.0,"41,427","20,065",
05063,5.8,"47,903","33,040",
05065,8.4,"40,233","12,785",
05067,7.1,"38,636","37,938",
05069,8.0,"40,555","13,577",
05071,6.3,"40,396","16,755",
05073,7.6,"37,164","67,260",
05075,6.1,"39,604","25,749",
05077,7.5,"30,421","6,308",
05079,6.0,"44,272","16,216",
05081,6.4,"43,257","8,600",
05083,6.6,"42,249","12,941",
05085,5.5,"62,782","12,026",
05087,3.9,"48,016","21,131",
05089,6.4,"38,760","74,015",
05091,6.9,"50,905","16,521",
05093,9.0,"39,990","16,826",
05095,6.7,"34,289","42,600",
05097,6.8,"39,591","40,685",
05099,5.9,"36,528","6,799",
05101,5.0,"37,648","8,484",
05103,6.0,"46,393","8,310",
05105,5.5,"50,560","7,225",
05107,9.1,"31,521","22,650",
05109,5.9,"44,426","10,019",
05111,5.5,"40,536","16,568",
05113,6.6,"39,722","10,171",
05115,5.9,"47,519","22,965",
05117,5.3,"46,205","19,221",
05119,7.4,"52,684","63,381",
05121,5.9,"42,875","8,282",
05123,7.9,"34,389","399,125",
05125,5.1,"66,944","18,571",
05127,4.5,"38,065","23,090",
05129,6.4,"34,712","123,416",
05131,6.0,"48,945","9,836",
05133,5.8,"43,493","7,828",
05135,7.1,"37,591","127,799",
05137,7.1,"36,930","15,839",
05139,8.3,"46,602","17,271",
05141,7.1,"38,096","12,359",
05143,4.6,"52,158","39,054",
05145,6.2,"46,388","15,796",
05147,5.8,"36,568","245,871",
05149,5.1,"44,469","76,822",
06000,10.1,"80,423","6,269",
06001,8.8,"107,589","20,263",
06003,11.2,"58,112","39,538,223",
06005,9.1,"62,640","1,682,353",
