State,County,Biden Vote %,Trump Vote %,Other Vote %,Was Winner Democrat?
Kentucky,Campbell,39.6,58.3,2.1,0
Kentucky,Carlisle,17.6,81.8,0.6,0
Kentucky,Carroll,27.0,71.4,1.6,0
Kentucky,Carter,22.8,75.7,1.4,0
Kentucky,Casey,12.8,86.2,1.0,0
Kentucky,Christian,34.8,63.2,2.1,0
Kentucky,Clark,33.1,65.1,1.8,0
Kentucky,Clay,10.9,88.0,1.1,0
Kentucky,Clinton,12.2,86.8,1.0,0
Kentucky,Crittenden,17.2,81.4,1.4,0
Kentucky,Cumberland,15.4,83.7,0.9,0
Kentucky,Daviess,35.1,62.9,2.0,0
Kentucky,Edmonson,20.0,78.7,1.3,0
Kentucky,Elliott,23.8,75.0,1.2,0
Kentucky,Estill,20.7,78.0,1.3,0
Kentucky,Fayette,59.2,38.5,2.3,1
Kentucky,Fleming,20.9,78.3,0.9,0
Kentucky,Floyd,23.8,74.9,1.3,0
Kentucky,Franklin,48.5,49.5,2.0,0
Kentucky,Fulton,32.7,66.2,1.1,0
Kentucky,Gallatin,21.4,76.8,1.9,0
Kentucky,Garrard,21.0,77.6,1.4,0
Kentucky,Grant,19.9,78.5,1.6,0
Kentucky,Graves,20.9,77.6,1.5,0
Kentucky,Grayson,20.0,78.9,1.1,0
Kentucky,Green,15.8,83.2,0.9,0
Kentucky,Greenup,26.8,71.9,1.3,0
Kentucky,Hancock,29.5,68.6,2.0,0
Kentucky,Hardin,37.0,61.0,2.0,0
Kentucky,Harlan,13.6,85.4,1.0,0
Kentucky,Harrison,27.1,71.5,1.4,0
Kentucky,Hart,22.8,75.8,1.4,0
Kentucky,Henderson,36.9,61.5,1.6,0
Kentucky,Henry,26.4,72.0,1.5,0
Kentucky,Hickman,20.8,77.9,1.2,0
Kentucky,Hopkins,25.3,73.2,1.5,0
Kentucky,Jackson,9.9,89.2,0.9,0
Kentucky,Jefferson,58.9,38.8,2.3,1
Kentucky,Jessamine,32.6,65.1,2.4,0
Kentucky,Johnson,15.8,82.9,1.4,0
Kentucky,Kenton,39.3,58.6,2.2,0
Kentucky,Knott,22.6,76.5,1.0,0
Kentucky,Knox,15.9,83.0,1.1,0
Kentucky,Larue,20.6,77.9,1.5,0
Kentucky,Laurel,15.9,82.7,1.4,0
Kentucky,Lawrence,17.8,81.0,1.2,0
Kentucky,Lee,17.2,81.1,1.6,0
Kentucky,Leslie,9.3,89.8,1.0,0
Kentucky,Letcher,19.7,79.1,1.2,0
Kentucky,Lewis,14.0,84.8,1.2,0
Kentucky,Lincoln,20.7,77.8,1.6,0
Kentucky,Livingston,18.8,80.1,1.1,0
Kentucky,Logan,25.1,73.4,1.5,0
Kentucky,Lyon,25.8,73.3,0.9,0
Kentucky,McCracken,33.4,65.0,1.6,0
Kentucky,McCreary,11.3,88.0,0.8,0
Kentucky,McLean,22.5,76.0,1.6,0
Kentucky,Madison,35.4,62.2,2.3,0
Kentucky,Magoffin,22.3,76.6,1.1,0
Kentucky,Marion,30.5,68.5,1.1,0
Kentucky,Marshall,23.1,75.5,1.3,0
Kentucky,Martin,10.2,88.8,1.0,0
Kentucky,Mason,29.7,68.8,1.5,0
Kentucky,Meade,25.7,72.2,2.1,0
Kentucky,Menifee,24.2,74.5,1.4,0
Kentucky,Mercer,25.8,72.5,1.6,0
Kentucky,Metcalfe,19.5,79.0,1.6,0
Kentucky,Monroe,12.3,86.8,0.9,0
Kentucky,Montgomery,28.3,70.0,1.7,0
Kentucky,Morgan,21.2,77.6,1.2,0
Kentucky,Muhlenberg,24.9,73.7,1.3,0
Kentucky,Nelson,30.9,67.5,1.6,0
Kentucky,Nicholas,28.1,70.9,1.0,0
Kentucky,Ohio,21.6,77.1,1.3,0
Kentucky,Oldham,38.2,59.7,2.2,0
Kentucky,Owen,20.1,78.6,1.3,0
Kentucky,Owsley,11.4,88.1,0.5,0
Kentucky,Pendleton,19.1,79.6,1.3,0
Kentucky,Perry,22.2,76.5,1.3,0
Kentucky,Pike,19.2,79.9,1.0,0
Kentucky,Powell,24.8,73.4,1.8,0
Kentucky,Pulaski,18.0,80.6,1.4,0
Kentucky,Robertson,22.1,77.1,0.8,0
Kentucky,Rockcastle,14.6,84.5,0.9,0
Kentucky,Rowan,38.5,59.6,1.9,0
Kentucky,Russell,14.9,84.0,1.2,0
Kentucky,Scott,36.5,61.3,2.2,0
Kentucky,Shelby,34.3,63.9,1.8,0
Kentucky,Simpson,30.7,67.4,1.9,0
Kentucky,Spencer,22.1,76.4,1.4,0
Kentucky,Taylor,23.7,74.9,1.5,0
Kentucky,Todd,22.5,75.7,1.8,0
Kentucky,Trigg,24.3,74.4,1.3,0
Kentucky,Trimble,23.4,74.7,1.8,0
Kentucky,Union,23.2,75.5,1.3,0
Kentucky,Warren,40.6,57.4,2.0,0
Kentucky,Washington,26.4,72.0,1.6,0
Kentucky,Wayne,18.4,80.4,1.2,0
Kentucky,Webster,23.6,75.2,1.3,0
Kentucky,Whitley,16.6,81.8,1.5,0
Kentucky,Wolfe,28.2,70.4,1.4,0
Kentucky,Woodford,42.9,55.0,2.1,0
Maine,Androscoggin,47.0,49.9,3.1,0
Maine,Aroostook,39.0,59.1,1.9,0
Maine,Cumberland,66.5,30.8,2.8,1
Maine,Franklin,46.4,50.3,3.3,0
Maine,Hancock,54.8,42.4,2.8,1
Maine,Kennebec,48.6,48.3,3.1,1
Maine,Knox,58.7,38.8,2.5,1
Maine,Lincoln,53.8,43.5,2.8,1
Maine,Oxford,44.1,52.8,3.1,0
Maine,Penobscot,44.2,52.6,3.2,0
Maine,Piscataquis,35.5,62.0,2.5,0
Maine,Sagadahoc,56.3,40.6,3.1,1
Maine,Somerset,37.0,60.4,2.7,0
Maine,Waldo,50.8,46.0,3.2,1
Maine,Washington,39.0,58.7,2.3,0
Maine,York,54.9,42.3,2.8,1
Maryland,Allegany,29.9,68.2,1.9,0
Maryland,Anne Arundel,55.8,41.3,2.9,1
Maryland,Baltimore,87.3,10.7,2.0,1
Maryland,Calvert,46.0,51.6,2.4,0
Maryland,Caroline,32.3,65.1,2.6,0
Maryland,Carroll,36.3,60.0,3.6,0
Maryland,Cecil,35.4,62.0,2.6,0
Maryland,Charles,69.5,28.6,2.0,1
Maryland,Dorchester,42.9,54.9,2.2,0
Maryland,Frederick,53.3,43.7,2.9,1
Maryland,Garrett,21.0,76.9,2.1,0
Maryland,Harford,42.6,54.6,2.8,0
Maryland,Howard,70.7,26.4,2.9,1
Maryland,Kent,49.4,48.1,2.5,1
Maryland,Montgomery,78.6,19.0,2.4,1
Maryland,Prince George's,89.3,8.7,2.0,1
Maryland,Queen Anne's,35.4,61.9,2.8,0
Maryland,St. Mary's,41.6,55.4,3.1,0
Maryland,Somerset,41.8,56.6,1.6,0
Maryland,Talbot,49.0,48.5,2.4,1
Maryland,Washington,38.4,59.3,2.2,0
Maryland,Wicomico,47.7,49.6,2.6,0
Maryland,Worcester,39.6,58.6,1.8,0
Massachusetts,Barnstable,61.2,36.8,2.0,1
Massachusetts,Berkshire,72.4,25.3,2.3,1
Massachusetts,Bristol,54.9,42.9,2.2,1
Massachusetts,Dukes,77.5,20.6,2.0,1
Massachusetts,Essex,63.4,34.4,2.2,1
Massachusetts,Franklin,70.7,26.4,2.9,1
Massachusetts,Hampden,57.7,40.0,2.3,1
Massachusetts,Hampshire,72.1,25.4,2.5,1
Massachusetts,Middlesex,71.5,26.3,2.2,1
Massachusetts,Nantucket,71.7,26.2,2.1,1
Massachusetts,Norfolk,67.0,30.7,2.2,1
Massachusetts,Plymouth,57.5,40.2,2.3,1
Massachusetts,Suffolk,80.6,17.5,1.9,1
Massachusetts,Worcester,57.6,39.7,2.7,1
Michigan,Alcona,30.3,68.6,1.0,0
Michigan,Alger,40.0,58.7,1.3,0
Michigan,Allegan,36.4,61.6,2.0,0
Michigan,Alpena,35.3,62.9,1.8,0
Michigan,Antrim,37.3,61.0,1.7,0
Michigan,Arenac,31.4,67.1,1.5,0
Michigan,Baraga,36.5,62.1,1.4,0
Michigan,Barry,32.8,65.3,1.9,0
Michigan,Bay,43.3,54.9,1.8,0
Michigan,Benzie,44.7,53.8,1.5,0
Michigan,Berrien,45.3,52.7,1.9,0
Michigan,Branch,29.9,68.4,1.7,0
Michigan,Calhoun,43.6,54.6,1.8,0
Michigan,Cass,34.8,63.6,1.6,0
Michigan,Charlevoix,40.7,57.8,1.5,0
Michigan,Cheboygan,34.2,64.1,1.7,0
Michigan,Chippewa,37.6,60.4,1.9,0
Michigan,Clare,31.9,66.7,1.4,0
Michigan,Clinton,45.8,52.4,1.8,0
Michigan,Crawford,34.0,64.7,1.3,0
Michigan,Delta,35.9,62.4,1.7,0
Michigan,Dickinson,32.5,65.8,1.7,0
Michigan,Eaton,48.7,49.4,1.9,0
Michigan,Emmet,43.5,54.6,1.9,0
Michigan,Genesee,53.8,44.5,1.7,1
Michigan,Gladwin,31.0,67.7,1.4,0
Michigan,Gogebic,43.1,55.6,1.3,0
Michigan,Grand Traverse,47.5,50.5,1.9,0
Michigan,Gratiot,35.0,63.2,1.8,0
Michigan,Hillsdale,25.2,73.1,1.6,0
Michigan,Houghton,41.8,56.0,2.2,0
Michigan,Huron,29.8,69.0,1.2,0
Michigan,Ingham,65.2,33.0,1.9,1
Michigan,Ionia,33.8,64.1,2.0,0
Michigan,Iosco,34.9,63.4,1.7,0
Michigan,Iron,36.7,62.0,1.3,0
Michigan,Isabella,47.7,50.3,2.0,0
Michigan,Jackson,39.5,58.5,2.0,0
Michigan,Kalamazoo,58.2,39.5,2.3,1
Michigan,Kalkaska,28.2,69.9,1.8,0
Michigan,Kent,51.9,45.8,2.3,1
Michigan,Keweenaw,43.2,55.4,1.5,0
Michigan,Lake,36.1,62.3,1.5,0
Michigan,Lapeer,31.0,67.3,1.7,0
Michigan,Leelanau,52.0,46.8,1.1,1
Michigan,Lenawee,39.1,59.0,1.9,0
Michigan,Livingston,37.9,60.5,1.6,0
Michigan,Luce,28.0,70.1,1.9,0
Michigan,Mackinac,37.5,61.3,1.3,0
Michigan,Macomb,45.3,53.4,1.3,0
Michigan,Manistee,41.6,56.7,1.7,0
Michigan,Marquette,54.5,43.4,2.1,1
Michigan,Mason,39.4,59.1,1.6,0
Michigan,Mecosta,35.0,62.9,2.1,0
Michigan,Menominee,34.2,64.3,1.5,0
Michigan,Midland,41.7,56.3,2.0,0
Michigan,Missaukee,22.5,75.9,1.6,0
Michigan,Monroe,37.8,60.4,1.8,0
Michigan,Montcalm,30.2,67.9,1.9,0
Michigan,Montmorency,27.8,71.1,1.1,0
Michigan,Muskegon,49.4,48.8,1.8,1
Michigan,Newaygo,28.9,69.3,1.7,0
Michigan,Oakland,56.2,42.2,1.5,1
Michigan,Oceana,35.1,63.2,1.7,0
Michigan,Ogemaw,29.2,69.2,1.6,0
Michigan,Ontonagon,36.5,61.9,1.6,0
Michigan,Osceola,26.0,72.4,1.6,0
Michigan,Oscoda,27.5,71.0,1.5,0
Michigan,Otsego,32.1,66.2,1.7,0
Michigan,Ottawa,38.4,59.8,1.8,0
Michigan,Presque Isle,34.8,63.9,1.2,0
Michigan,Roscommon,34.4,64.3,1.3,0
Michigan,Saginaw,49.4,49.1,1.6,1
Michigan,St. Clair,34.0,64.2,1.8,0
Michigan,St. Joseph,33.1,64.8,2.1,0
Michigan,Sanilac,26.6,72.1,1.3,0
Michigan,Schoolcraft,33.5,65.1,1.4,0
Michigan,Shiawassee,39.0,58.9,2.0,0
Michigan,Tuscola,29.6,68.9,1.6,0
Michigan,Van Buren,42.9,55.2,1.9,0
Michigan,Washtenaw,72.4,25.9,1.6,1
Michigan,Wayne,68.3,30.3,1.4,1
Michigan,Wexford,31.9,66.2,1.9,0
Minnesota,Aitkin,36.0,62.4,1.6,0
Minnesota,Anoka,47.8,49.7,2.5,0
Minnesota,Becker,34.0,64.1,1.9,0
Minnesota,Beltrami,47.2,50.4,2.3,0
Minnesota,Benton,32.7,64.6,2.7,0
Minnesota,Big Stone,35.4,62.6,2.0,0
Minnesota,Blue Earth,50.8,46.4,2.7,1
Minnesota,Brown,32.5,65.3,2.3,0
Minnesota,Carlton,49.6,48.1,2.4,1
Minnesota,Carver,46.4,51.2,2.4,0
Minnesota,Cass,34.7,63.5,1.7,0
Minnesota,Chippewa,33.7,64.3,2.0,0
Minnesota,Chisago,34.2,63.4,2.5,0
Minnesota,Clay,50.7,46.7,2.6,1
Minnesota,Clearwater,26.8,71.6,1.6,0
Minnesota,Cook,65.6,31.6,2.8,1
Minnesota,Cottonwood,30.0,68.2,1.8,0
Minnesota,Crow Wing,34.2,63.9,2.0,0
Minnesota,Dakota,55.7,41.8,2.5,1
Minnesota,Dodge,33.5,63.9,2.7,0
Minnesota,Douglas,32.6,65.4,2.0,0
Minnesota,Faribault,32.0,65.6,2.4,0
Minnesota,Fillmore,37.5,60.1,2.4,0
Minnesota,Freeborn,41.0,57.0,2.1,0
Minnesota,Goodhue,41.2,56.1,2.7,0
Minnesota,Grant,35.6,62.1,2.4,0
Minnesota,Hennepin,70.5,27.2,2.3,1
Minnesota,Houston,42.4,55.4,2.2,0
Minnesota,Hubbard,34.4,63.3,2.3,0
Minnesota,Isanti,29.5,68.0,2.5,0
Minnesota,Itasca,40.6,57.4,2.0,0
Minnesota,Jackson,30.0,67.8,2.1,0
Minnesota,Kanabec,30.0,67.9,2.0,0
Minnesota,Kandiyohi,36.1,61.8,2.1,0
Minnesota,Kittson,38.1,58.6,3.3,0
Minnesota,Koochiching,38.4,59.7,1.9,0
Minnesota,Lac Qui Parle,35.8,62.6,1.6,0
Minnesota,Lake,50.6,47.1,2.2,1
Minnesota,Lake of the Woods,27.9,70.8,1.4,0
Minnesota,Le Sueur,33.7,64.1,2.2,0
Minnesota,Lincoln,30.1,68.1,1.8,0
Minnesota,Lyon,35.9,61.9,2.2,0
Minnesota,McLeod,30.6,66.8,2.5,0
Minnesota,Mahnomen,48.3,49.6,2.2,0
Minnesota,Marshall,25.3,72.8,1.9,0
Minnesota,Martin,30.0,67.9,2.1,0
Minnesota,Meeker,28.6,69.2,2.2,0
Minnesota,Mille Lacs,30.0,67.8,2.3,0
Minnesota,Morrison,22.3,75.8,1.9,0
Minnesota,Mower,46.0,51.8,2.1,0
Minnesota,Murray,29.6,68.7,1.8,0
Minnesota,Nicollet,50.3,47.2,2.5,1
Minnesota,Nobles,33.7,64.3,2.1,0
Minnesota,Norman,40.8,56.8,2.4,0
Minnesota,Olmsted,54.2,43.4,2.4,1
Minnesota,Otter Tail,32.9,65.4,1.8,0
Minnesota,Pennington,35.3,62.3,2.4,0
Minnesota,Pine,33.9,64.1,2.0,0
Minnesota,Pipestone,26.4,71.9,1.7,0
Minnesota,Polk,34.9,63.3,1.8,0
Minnesota,Pope,35.3,62.9,1.8,0
Minnesota,Ramsey,71.5,26.1,2.3,1
Minnesota,Red Lake,31.5,66.2,2.3,0
Minnesota,Redwood,28.4,69.7,1.9,0
Minnesota,Renville,30.7,67.3,2.0,0
Minnesota,Rice,48.8,48.9,2.3,0
Minnesota,Rock,29.7,68.4,1.9,0
Minnesota,Roseau,26.0,72.0,2.0,0
Minnesota,St. Louis,56.6,41.0,2.3,1
Minnesota,Scott,45.5,52.1,2.3,0
Minnesota,Sherburne,32.5,65.1,2.4,0
Minnesota,Sibley,28.6,69.4,2.1,0
Minnesota,Stearns,37.6,60.1,2.4,0
Minnesota,Steele,37.5,59.9,2.6,0
Minnesota,Stevens,37.8,59.9,2.3,0
Minnesota,Swift,34.4,63.9,1.8,0
Minnesota,Todd,24.8,73.6,1.6,0
Minnesota,Traverse,35.5,62.9,1.7,0
Minnesota,Wabasha,35.8,62.1,2.1,0
Minnesota,Wadena,26.4,71.9,1.8,0
Minnesota,Waseca,33.7,63.8,2.6,0
Minnesota,Washington,53.5,44.2,2.4,1
Minnesota,Watonwan,38.2,59.7,2.2,0
Minnesota,Wilkin,29.9,67.9,2.2,0
Minnesota,Winona,49.1,48.7,2.3,1
Minnesota,Wright,34.5,63.1,2.4,0
Minnesota,Yellow Medicine,30.5,67.5,1.9,0
Mississippi,Adams,57.5,41.4,1.0,1
Mississippi,Alcorn,17.6,81.2,1.2,0
Mississippi,Amite,36.4,62.6,1.0,0
Mississippi,Attala,40.1,58.7,1.1,0
Mississippi,Benton,39.1,59.9,1.0,0
Mississippi,Bolivar,64.8,34.0,1.2,1
Mississippi,Calhoun,28.9,70.2,1.0,0
Mississippi,Carroll,30.3,68.8,0.8,0
Mississippi,Chickasaw,46.8,51.3,1.9,0
Mississippi,Choctaw,28.1,71.1,0.9,0
Mississippi,Claiborne,84.8,13.6,1.6,1
Mississippi,Clarke,34.0,65.0,1.0,0
Mississippi,Clay,57.4,41.0,1.6,1
Mississippi,Coahoma,70.8,27.9,1.2,1
Mississippi,Copiah,50.2,48.5,1.2,1
Mississippi,Covington,36.5,62.5,0.9,0
Mississippi,DeSoto,37.1,61.0,1.9,0
Mississippi,Forrest,43.5,54.6,1.9,0
Mississippi,Franklin,33.2,65.5,1.3,0
Mississippi,George,11.0,87.9,1.0,0
Mississippi,Greene,16.6,82.5,0.9,0
Mississippi,Grenada,43.4,55.7,0.9,0
Mississippi,Hancock,21.5,77.0,1.6,0
Mississippi,Harrison,36.5,61.7,1.7,0
Mississippi,Hinds,73.4,25.1,1.6,1
Mississippi,Holmes,81.2,16.9,2.0,1
Mississippi,Humphreys,72.0,26.7,1.3,1
Mississippi,Issaquena,52.5,45.6,1.9,1
Mississippi,Itawamba,11.5,87.2,1.2,0
Mississippi,Jackson,31.9,66.5,1.6,0
Mississippi,Jasper,49.7,49.2,1.1,1
Mississippi,Jefferson,85.1,13.6,1.3,1
Mississippi,Jefferson Davis,57.9,40.8,1.3,1
Mississippi,Jones,28.3,70.5,1.1,0
Mississippi,Kemper,61.0,37.8,1.2,1
Mississippi,Lafayette,43.0,55.3,1.7,0
Mississippi,Lamar,25.7,72.6,1.7,0
Mississippi,Lauderdale,41.5,57.5,1.0,0
Mississippi,Lawrence,34.2,64.8,1.0,0
Mississippi,Leake,42.4,56.8,0.8,0
Mississippi,Lee,33.0,65.5,1.5,0
Mississippi,Leflore,70.2,28.7,1.1,1
Mississippi,Lincoln,30.0,69.0,0.9,0
Mississippi,Lowndes,48.0,50.7,1.3,0
Mississippi,Madison,43.4,55.2,1.4,0
Mississippi,Marion,31.1,67.9,0.9,0
Mississippi,Marshall,50.9,47.8,1.3,1
Mississippi,Monroe,34.0,64.8,1.2,0
Mississippi,Montgomery,41.8,57.5,0.7,0
Mississippi,Neshoba,27.9,71.1,1.0,0
Mississippi,Newton,30.2,68.7,1.1,0
Mississippi,Noxubee,75.7,23.2,1.1,1
Mississippi,Oktibbeha,52.1,45.6,2.3,1
Mississippi,Panola,47.4,51.6,1.1,0
Mississippi,Pearl River,17.3,81.5,1.3,0
Mississippi,Perry,23.0,76.1,0.9,0
Mississippi,Pike,49.8,48.8,1.3,1
Mississippi,Pontotoc,18.2,80.4,1.3,0
Mississippi,Prentiss,20.2,78.6,1.1,0
Mississippi,Quitman,66.6,31.8,1.6,1
Mississippi,Rankin,26.6,71.9,1.5,0
Mississippi,Scott,40.3,58.6,1.1,0
Mississippi,Sharkey,67.1,31.5,1.4,1
Mississippi,Simpson,34.2,64.6,1.2,0
Mississippi,Smith,21.5,77.6,0.9,0
Mississippi,Stone,22.9,75.7,1.4,0
Mississippi,Sunflower,70.0,28.9,1.0,1
Mississippi,Tallahatchie,54.6,43.8,1.6,1
Mississippi,Tate,31.9,66.5,1.6,0
Mississippi,Tippah,19.2,79.7,1.1,0
Mississippi,Tishomingo,11.6,86.8,1.6,0
Mississippi,Tunica,72.4,26.0,1.6,1
Mississippi,Union,17.0,81.8,1.2,0
Mississippi,Walthall,39.8,59.3,0.9,0
Mississippi,Warren,49.6,49.2,1.1,1
Mississippi,Washington,69.3,29.4,1.3,1
Mississippi,Wayne,36.0,62.7,1.3,0
Mississippi,Webster,19.3,79.5,1.2,0
Mississippi,Wilkinson,66.6,32.1,1.3,1
Mississippi,Winston,43.7,55.3,0.9,0
Mississippi,Yalobusha,42.6,56.2,1.2,0
Mississippi,Yazoo,52.7,46.3,1.0,1
Missouri,Adair,35.9,62.0,2.1,0
Missouri,Andrew,24.1,74.2,1.7,0
Missouri,Atchison,20.0,78.1,1.8,0
Missouri,Audrain,25.4,72.5,2.2,0
Missouri,Barry,18.9,79.7,1.4,0
Missouri,Barton,13.9,85.0,1.1,0
Missouri,Bates,19.8,78.2,2.0,0
Missouri,Benton,20.8,77.3,1.9,0
Missouri,Bollinger,12.5,86.4,1.1,0
Missouri,Boone,54.8,42.3,2.9,1
Missouri,Buchanan,36.6,61.2,2.2,0
Missouri,Butler,18.2,80.4,1.5,0
Missouri,Caldwell,19.1,79.3,1.6,0
Missouri,Callaway,27.7,69.9,2.4,0
Missouri,Camden,22.8,76.0,1.2,0
Missouri,Cape Girardeau,26.6,71.5,1.9,0
Missouri,Carroll,17.3,81.8,0.9,0
Missouri,Carter,14.4,84.6,1.0,0
Missouri,Cass,33.1,64.6,2.3,0
Missouri,Cedar,16.3,82.2,1.6,0
Missouri,Chariton,22.5,76.3,1.2,0
Missouri,Christian,23.7,74.4,1.9,0
Missouri,Clark,20.0,78.7,1.3,0
Missouri,Clay,46.9,51.0,2.0,0
Missouri,Clinton,26.6,71.5,1.9,0
Missouri,Cole,32.0,65.8,2.2,0
Missouri,Cooper,25.9,72.2,2.0,0
Missouri,Crawford,19.3,79.5,1.2,0
Missouri,Dade,15.9,82.9,1.2,0
Missouri,Dallas,17.0,81.7,1.3,0
Missouri,Daviess,19.1,79.3,1.6,0
Missouri,DeKalb,19.2,78.9,1.9,0
Missouri,Dent,14.8,83.8,1.4,0
Missouri,Douglas,14.5,84.3,1.2,0
Missouri,Dunklin,21.1,78.1,0.8,0
Missouri,Franklin,27.1,70.8,2.1,0
Missouri,Gasconade,20.2,78.5,1.3,0
Missouri,Gentry,18.9,79.7,1.3,0
Missouri,Greene,38.7,58.8,2.5,0
Missouri,Grundy,18.0,80.8,1.2,0
Missouri,Harrison,15.6,83.6,0.8,0
Missouri,Henry,24.2,74.3,1.5,0
Missouri,Hickory,20.8,78.1,1.1,0
Missouri,Holt,14.4,84.3,1.2,0
Missouri,Howard,27.7,69.8,2.5,0
Missouri,Howell,17.2,81.3,1.5,0
Missouri,Iron,20.6,78.3,1.1,0
Missouri,Jackson,59.8,37.9,2.3,1
Missouri,Jasper,25.8,71.8,2.4,0
Missouri,Jefferson,32.1,65.9,2.0,0
Missouri,Johnson,30.1,66.8,3.1,0
Missouri,Knox,18.3,80.1,1.6,0
Missouri,Laclede,16.5,81.8,1.7,0
Missouri,Lafayette,26.2,71.8,2.1,0
Missouri,Lawrence,17.9,80.4,1.6,0
Missouri,Lewis,21.3,76.9,1.8,0
Missouri,Lincoln,22.7,75.2,2.1,0
Missouri,Linn,22.3,76.2,1.5,0
Missouri,Livingston,20.9,77.9,1.2,0
Missouri,McDonald,15.9,82.4,1.8,0
Missouri,Macon,21.2,77.5,1.3,0
Missouri,Madison,18.0,80.8,1.3,0
Missouri,Maries,17.1,81.6,1.4,0
Missouri,Marion,23.9,74.1,1.9,0
Missouri,Mercer,12.5,86.5,1.1,0
Missouri,Miller,16.4,82.1,1.5,0
Missouri,Mississippi,24.8,74.4,0.9,0
Missouri,Moniteau,18.3,80.3,1.5,0
Missouri,Monroe,20.9,77.6,1.6,0
Missouri,Montgomery,20.9,77.4,1.7,0
Missouri,Morgan,20.3,78.4,1.3,0
Missouri,New Madrid,24.1,75.1,0.8,0
Missouri,Newton,20.4,77.7,1.8,0
Missouri,Nodaway,28.8,69.3,1.9,0
Missouri,Oregon,17.4,81.2,1.5,0
Missouri,Osage,13.7,85.1,1.1,0
Missouri,Ozark,15.5,83.6,1.0,0
Missouri,Pemiscot,27.2,71.8,1.0,0
Missouri,Perry,17.6,81.0,1.4,0
Missouri,Pettis,25.0,72.5,2.4,0
Missouri,Phelps,28.8,68.8,2.5,0
Missouri,Pike,22.3,76.1,1.6,0
Missouri,Platte,47.5,50.5,2.0,0
Missouri,Polk,19.1,78.5,2.4,0
Missouri,Pulaski,25.9,71.5,2.6,0
Missouri,Putnam,15.3,84.0,0.7,0
Missouri,Ralls,21.3,77.6,1.1,0
Missouri,Randolph,23.1,74.5,2.4,0
Missouri,Ray,26.6,71.5,1.9,0
Missouri,Reynolds,16.0,82.9,1.1,0
Missouri,Ripley,14.6,84.6,0.8,0
Missouri,St. Charles,40.2,57.7,2.1,0
Missouri,St. Clair,19.9,79.1,1.1,0
Missouri,Ste. Genevieve,28.6,69.8,1.6,0
Missouri,St. Francois,25.1,73.1,1.8,0
Missouri,St. Louis,81.9,16.0,2.1,1
Missouri,Saline,30.5,67.7,1.9,0
Missouri,Schuyler,18.6,80.2,1.2,0
Missouri,Scotland,19.5,78.5,1.9,0
Missouri,Scott,21.1,77.6,1.3,0
Missouri,Shannon,18.1,81.0,0.9,0
Missouri,Shelby,17.7,80.6,1.7,0
Missouri,Stoddard,13.5,85.5,0.9,0
Missouri,Stone,18.9,79.9,1.2,0
Missouri,Sullivan,19.3,79.9,0.8,0
Missouri,Taney,20.3,77.9,1.9,0
Missouri,Texas,15.2,83.8,1.1,0
Missouri,Vernon,20.7,77.9,1.4,0
Missouri,Warren,25.9,71.8,2.3,0
Missouri,Washington,18.1,80.6,1.4,0
Missouri,Wayne,14.4,84.8,0.8,0
Missouri,Webster,19.0,79.2,1.7,0
Missouri,Worth,19.4,79.2,1.4,0
Missouri,Wright,13.3,85.2,1.5,0
Montana,Beaverhead,28.4,69.3,2.3,0
Montana,Big Horn,52.0,46.1,1.9,1
Montana,Blaine,51.0,47.1,1.9,1
Montana,Broadwater,20.4,77.4,2.2,0
Montana,Carbon,34.3,63.3,2.3,0
Montana,Carter,8.6,89.7,1.7,0
Montana,Cascade,38.8,58.5,2.8,0
Montana,Chouteau,33.4,63.8,2.8,0
Montana,Custer,25.8,71.8,2.4,0
Montana,Daniels,19.2,78.8,2.0,0
Montana,Dawson,19.9,77.9,2.2,0
Montana,Deer Lodge,52.4,44.7,2.9,1
Montana,Fallon,10.9,87.3,1.8,0
Montana,Fergus,23.0,74.8,2.2,0
Montana,Flathead,33.8,63.9,2.2,0
Montana,Gallatin,52.2,44.6,3.2,1
Montana,Garfield,5.0,94.0,1.0,0
Montana,Glacier,64.3,33.5,2.2,1
Montana,Golden Valley,15.5,82.3,2.2,0
Montana,Granite,30.4,67.5,2.1,0
Montana,Hill,41.5,55.1,3.4,0
Montana,Jefferson,32.2,65.6,2.2,0
Montana,Judith Basin,20.5,77.4,2.2,0
Montana,Lake,41.6,56.1,2.3,0
Montana,Lewis and Clark,46.7,50.6,2.7,0
Montana,Liberty,23.0,75.8,1.2,0
Montana,Lincoln,24.1,73.8,2.1,0
Montana,McCone,13.7,84.8,1.5,0
Montana,Madison,29.1,68.9,2.1,0
Montana,Meagher,23.2,75.0,1.7,0
Montana,Mineral,26.8,71.3,1.9,0
Montana,Missoula,60.6,36.8,2.5,1
Montana,Musselshell,14.3,84.1,1.6,0
Montana,Park,45.6,52.1,2.3,0
Montana,Petroleum,11.2,85.6,3.2,0
Montana,Phillips,17.5,81.3,1.3,0
Montana,Pondera,30.2,67.8,2.0,0
Montana,Powder River,13.6,85.4,1.1,0
Montana,Powell,23.7,74.1,2.3,0
Montana,Prairie,16.9,81.0,2.0,0
Montana,Ravalli,30.7,67.1,2.2,0
Montana,Richland,15.1,82.8,2.1,0
Montana,Roosevelt,47.5,49.7,2.8,0
Montana,Rosebud,31.8,65.9,2.3,0
Montana,Sanders,23.9,74.2,1.9,0
Montana,Sheridan,28.3,69.1,2.6,0
